open,high,low,close,volume
191.09,192.73,190.92,192.35001,42309400
189.33,191.92,189.00999,191.03999,44361300
189.50999,190.81,189.17999,189.87,41282900
190.47,191.10001,189.66,189.84,52845200
187.91,190.64999,187.37,189.72,70400000
187.50999,188.3,186.28999,187.42999,52393600
185.44,187.10001,184.62,186.28,72044800
184.89999,185.09,182.13,183.05,50759500
182.56,184.66,182.11,184.57001,48983000
182.85001,183.07001,181.45,182.74001,45057100
183.45,184.89999,181.32001,182.39999,77305800
182.35001,184.2,180.42,181.71001,78569700
186.64999,187.0,182.66,183.38,163224100
172.50999,173.42,170.89,173.03,94214900
169.58,172.71001,169.11,169.3,50383100
173.33,174.99001,170.0,170.33,65934800
173.37,176.03,173.10001,173.5,68169400
169.88,171.34,169.17999,169.3,44838400
169.53,170.61,168.14999,169.89,50558300
166.53999,169.3,166.21001,169.02,48251800
165.35001,167.05,164.92,166.89999,49537800
165.52,167.25999,164.77,165.84,48116400
166.21001,166.39999,164.08,165.0,67772100
168.03,168.64,166.55,167.03999,43122900
169.61,170.64999,168.0,168.0,50901200
171.75,173.75999,168.27,169.38,73711200
175.36,176.63,172.5,172.69,73531800
174.25999,178.36,174.21001,176.55,101593300
168.34,175.46001,168.16,175.03999,91070300
168.8,169.09,167.11,167.78,49709300
168.7,170.08,168.35001,169.67,42451200
169.03,169.2,168.24001,168.45,37425500
169.59,170.39,168.95,169.58,42055200
170.28999,171.92,168.82001,168.82001,53704400
168.78999,170.67999,168.58,169.64999,47691700
169.08,169.34,168.23,168.84,49329500
171.19,171.25,169.48,170.03,46240500
171.75,172.23,170.50999,171.48,65672700
170.41,173.60001,170.11,173.31,60273300
170.0,171.42,169.58,169.71001,57388400
170.57001,171.94,169.45,170.85001,54288300
171.75999,173.05,170.06,172.28,71106600
177.05,177.49001,170.84,171.37,106181300
175.72,178.67,175.09,178.67,53423100
174.34,176.61,173.03,176.08,55215200
175.57001,177.71001,173.52,173.72,75604200
171.17,172.62,170.28999,172.62,121664700
172.91,174.31,172.05,173.0,72913500
172.77,173.19,170.75999,171.13,52488700
173.14999,174.03,171.00999,173.23,59825400
172.94,174.38,172.05,172.75,60139500
169.0,173.7,168.94,170.73,76114600
169.14999,170.73,168.49001,169.0,71765100
171.06,171.24001,168.67999,169.12,68587700
170.75999,172.03999,169.62,170.12,95132400
176.14999,176.89999,173.78999,175.10001,81510100
179.55,180.53,177.38,179.66,73488000
181.27,182.57001,179.53,180.75,136682600
182.50999,183.12,180.13,181.42,48953900
181.10001,183.92,179.56,182.63,54318900
182.24001,182.75999,180.64999,181.16,40867400
185.00999,185.03999,182.23,182.52,45119700
183.48,184.96001,182.46001,184.37,52292200
181.94,182.89,180.66,182.32001,41529700
181.78999,182.42999,180.0,181.56,53665600
183.42,184.85001,181.67,182.31,49701400
183.55,184.49001,181.35001,183.86,65434500
185.32001,185.53,182.44,184.14999,54630500
185.77,186.21001,183.50999,185.03999,56529500
188.42,188.67,186.78999,187.14999,41781900
188.64999,189.99001,188.0,188.85001,45155200
189.39,189.53999,187.35001,188.32001,40962000
190.64,191.05,188.61,189.41,53439000
186.86,189.31,186.77,189.3,43490800
188.14999,189.25,185.84,187.67999,69668800
179.86,187.33,179.25,185.85001,102518000
183.99001,186.95,183.82001,186.86,64885400
187.03999,187.10001,184.35001,184.39999,55467800
190.94,191.8,187.47,188.03999,55859400
192.00999,192.2,189.58,191.73,47145600
194.27,194.75999,191.94,192.42,44594000
195.22,196.27,193.11,194.17,54822100
195.42,196.38,194.34,194.5,53631300
195.02,195.75,193.83,195.17999,42355600
192.3,195.33,192.25999,193.89,60133900
189.33,191.95,188.82001,191.56,68741000
186.09,189.14,185.83,188.63,78005800
181.27,182.92999,180.3,182.67999,47317400
182.16,184.25999,180.92999,183.63,65603000
186.06,186.74001,185.19,185.92,40444700
186.53999,187.05,183.62,185.59,49128400
184.35001,186.39999,183.92,186.19,46792900
183.92,185.14999,182.73,185.14,42841800
182.09,185.60001,181.5,185.56,59144500
181.99001,182.75999,180.17,181.17999,62303300
182.14999,183.09,180.88,181.91,71983600
184.22,185.88,183.42999,184.25,58414500
187.14999,188.44,183.89,185.64,82488700
193.89999,194.39999,191.73,192.53,42628800
194.14,194.66,193.17,193.58,34049900
192.49001,193.5,191.09,193.14999,48087700
193.61,193.89,192.83,193.05,28919300
195.17999,195.41,192.97,193.60001,37122800
196.10001,197.08,193.5,194.67999,46482500
196.89999,197.67999,194.83,194.83,52242800
196.16,196.95,195.89,196.94,40714100
196.09,196.63,194.39,195.89,55751900
197.53,198.39999,197.0,197.57001,128256700
198.02,199.62,196.16,198.11,66831600
195.09,198.0,194.85001,197.96001,70404200
193.08,194.72,191.72,194.71001,52696900
193.11,193.49001,191.42,193.17999,60943700
194.2,195.99001,193.67,195.71001,53377300
193.63,195.0,193.59,194.27,47477700
194.45,194.75999,192.11,192.32001,41089700
190.21001,194.39999,190.17999,193.42,66628400
189.98,190.05,187.45,189.42999,43389500
190.33,191.56,189.23,191.24001,45679300
189.84,190.32001,188.19,189.95,48794400
190.89999,192.09,188.97,189.37,43014200
189.78,191.08,189.39999,190.39999,38415400
189.92,190.67,188.89999,189.78999,40552600
190.87,190.89999,189.25,189.97,24048300
191.49001,192.92999,190.83,191.31,39617700
191.41,191.52,189.74001,190.64,38134500
189.89,191.91,189.88,191.45,46505100
190.25,190.38,188.57001,189.69,50922700
189.57001,190.96001,188.64999,189.71001,54412900
187.85001,189.5,187.78,188.00999,53790500
187.7,188.11,186.3,187.44,60108400
185.82001,186.03,184.21001,184.8,43627500
183.97,186.57001,183.53,186.39999,66133400
182.96001,184.12,181.81,182.41,53763500
182.35001,183.45,181.59,182.89,49340300
179.17999,182.44,178.97,181.82001,70530000
176.38,179.42999,176.21001,179.23,63841300
174.24001,176.82001,173.35001,176.64999,79763700
175.52,177.78,175.46001,177.57001,77334800
171.0,174.23,170.12,173.97,56934900
169.35001,170.89999,167.89999,170.77,44846000
169.02,171.17,168.87,170.28999,51131000
166.91,168.96001,166.83,168.22,58499100
170.37,171.38,165.67,166.89,70625300
171.88,173.06,170.64999,171.10001,57157000
173.05,173.67,171.45,173.44,43816600
170.91,174.00999,169.92999,173.0,55980100
175.31,175.42,172.64,172.88,64189300
176.03999,177.84,175.19,175.46001,59302900
175.58,177.58,175.11,175.84,54764400
